university_id,name,country,city,ranking_global,ranking_national,reputation_score,tuition_fees_usd,living_cost_usd,min_gpa,min_test_scores,acceptance_rate,international_student_ratio,student_population,programs_offered,languages_taught,university_type,campus_culture_tags,has_scholarship,research_opportunities
mit_001,Massachusetts Institute of Technology,USA,Cambridge,1,1,98.5,53790,18000,3.8,{},0.07,0.35,11254,"['Computer Science', 'Engineering', 'Physics', 'Mathematics']",['English'],private,"['research_focused', 'technical']",True,True
stanford_001,Stanford University,USA,Stanford,2,2,97.8,56169,19500,3.7,{},0.04,0.3,17249,"['Computer Science', 'Business', 'Engineering', 'Medicine']",['English'],private,"['research_focused', 'diverse']",True,True
oxford_001,University of Oxford,UK,Oxford,3,1,97.2,45000,15000,3.8,{},0.15,0.4,24000,"['Liberal Arts', 'Sciences', 'Medicine', 'Law']",['English'],public,"['traditional', 'research_focused']",True,True
utoronto_001,University of Toronto,Canada,Toronto,25,1,85.4,35000,12000,3.5,{},0.43,0.25,97000,"['Computer Science', 'Engineering', 'Business', 'Arts']",['English'],public,"['diverse', 'research_focused']",True,True
epfl_001,École Polytechnique Fédérale de Lausanne,Switzerland,Lausanne,14,1,90.2,1500,20000,3.6,{},0.25,0.6,12000,"['Engineering', 'Computer Science', 'Physics', 'Mathematics']","['English', 'French']",public,"['technical', 'research_focused']",True,True
tu_delft_001,Delft University of Technology,Netherlands,Delft,50,1,82.5,18000,14000,3.3,{},0.35,0.35,26000,"['Engineering', 'Computer Science', 'Architecture']","['English', 'Dutch']",public,"['technical', 'research_focused']",True,True
melbourne_001,University of Melbourne,Australia,Melbourne,35,1,87.2,42000,16000,3.4,{},0.28,0.4,50000,"['Medicine', 'Engineering', 'Business', 'Arts']",['English'],public,"['diverse', 'research_focused']",True,True
tsinghua_001,Tsinghua University,China,Beijing,18,1,92.1,4500,8000,3.7,{},0.12,0.15,47000,"['Engineering', 'Computer Science', 'Business', 'Architecture']","['English', 'Chinese']",public,"['technical', 'research_focused']",True,True
mcgill_001,McGill University,Canada,Montreal,32,2,84.8,25000,11000,3.3,{},0.46,0.3,40000,"['Medicine', 'Engineering', 'Arts', 'Science']","['English', 'French']",public,"['diverse', 'traditional']",True,True
tub_001,Technical University of Berlin,Germany,Berlin,85,5,78.2,500,12000,3.0,{},0.45,0.25,35000,"['Engineering', 'Computer Science', 'Mathematics']","['English', 'German']",public,"['technical', 'diverse']",True,True
ubc_001,University of British Columbia,Canada,Vancouver,40,3,83.5,28000,13000,3.2,{},0.52,0.35,45000,"['Engineering', 'Computer Science', 'Business', 'Medicine']",['English'],public,"['diverse', 'research_focused']",True,True
